ch,keV,net,fit,model,continuum_raw,Ce-139,Esc-NaI,continuum
616,1828.597,0.000,-0.200,0.000,0.000,0.000,0.000,0.000
617,1831.611,0.000,-0.100,0.000,0.000,0.000,0.000,0.000
618,1834.625,0.533,0.533,0.000,0.000,0.000,0.000,0.000
619,1837.639,0.000,-0.467,0.000,0.000,0.000,0.000,0.000
620,1840.653,0.000,-1.633,0.000,0.000,0.000,0.000,0.000
621,1843.666,0.000,-0.533,0.000,0.000,0.000,0.000,0.000
622,1846.679,0.000,-0.367,0.000,0.000,0.000,0.000,0.000
623,1849.692,0.000,-0.533,0.000,0.000,0.000,0.000,0.000
624,1852.705,0.000,-0.800,0.000,0.000,0.000,0.000,0.000
625,1855.718,0.000,-0.267,0.000,0.000,0.000,0.000,0.000
626,1858.730,1.633,1.633,0.000,0.000,0.000,0.000,0.000
627,1861.742,0.000,-0.333,0.000,0.000,0.000,0.000,0.000
628,1864.754,0.000,-0.767,0.000,0.000,0.000,0.000,0.000
629,1867.766,0.000,-1.700,0.000,0.000,0.000,0.000,0.000
630,1870.778,0.800,0.800,0.000,0.000,0.000,0.000,0.000
631,1873.789,0.733,0.733,0.000,0.000,0.000,0.000,0.000
632,1876.800,0.000,-0.500,0.000,0.000,0.000,0.000,0.000
633,1879.811,1.100,1.100,0.000,0.000,0.000,0.000,0.000
634,1882.822,0.000,-1.833,0.000,0.000,0.000,0.000,0.000
635,1885.832,0.000,-0.100,0.000,0.000,0.000,0.000,0.000
636,1888.843,2.133,2.133,0.000,0.000,0.000,0.000,0.000
637,1891.853,0.000,-0.433,0.000,0.000,0.000,0.000,0.000
638,1894.862,0.933,0.933,0.000,0.000,0.000,0.000,0.000
639,1897.872,0.267,0.267,0.000,0.000,0.000,0.000,0.000
640,1900.881,0.000,-0.300,0.000,0.000,0.000,0.000,0.000
641,1903.890,2.000,2.000,0.000,0.000,0.000,0.000,0.000
642,1906.899,1.133,1.133,0.000,0.000,0.000,0.000,0.000
643,1909.908,0.000,-0.967,0.000,0.000,0.000,0.000,0.000
644,1912.916,0.000,-0.167,0.000,0.000,0.000,0.000,0.000
645,1915.924,0.000,-0.133,0.000,0.000,0.000,0.000,0.000
646,1918.932,1.867,1.867,0.000,0.000,0.000,0.000,0.000
647,1921.940,0.000,-1.000,0.000,0.000,0.000,0.000,0.000
648,1924.947,0.000,-1.133,0.000,0.000,0.000,0.000,0.000
649,1927.954,0.000,-1.600,0.000,0.000,0.000,0.000,0.000
650,1930.961,0.000,-1.000,0.000,0.000,0.000,0.000,0.000
651,1933.968,0.000,-0.400,0.000,0.000,0.000,0.000,0.000
652,1936.974,0.000,-0.667,0.000,0.000,0.000,0.000,0.000
653,1939.980,0.000,-1.200,0.000,0.000,0.000,0.000,0.000
654,1942.986,0.000,-0.133,0.000,0.000,0.000,0.000,0.000
655,1945.992,0.700,0.700,0.000,0.000,0.000,0.000,0.000
656,1948.997,0.000,-0.300,0.000,0.000,0.000,0.000,0.000
657,1952.002,0.000,-0.967,0.000,0.000,0.000,0.000,0.000
658,1955.007,0.000,-0.267,0.000,0.000,0.000,0.000,0.000
659,1958.012,0.000,-1.467,0.000,0.000,0.000,0.000,0.000
660,1961.016,0.000,-1.100,0.000,0.000,0.000,0.000,0.000
661,1964.020,0.000,-0.300,0.000,0.000,0.000,0.000,0.000
662,1967.024,0.000,0.000,0.000,0.000,0.000,0.000,0.000
663,1970.027,1.133,1.133,0.000,0.000,0.000,0.000,0.000
664,1973.031,0.700,0.700,0.000,0.000,0.000,0.000,0.000
665,1976.034,3.067,3.067,0.000,0.000,0.000,0.000,0.000
666,1979.036,0.000,-0.333,0.000,0.000,0.000,0.000,0.000
667,1982.039,1.800,1.800,0.000,0.000,0.000,0.000,0.000
668,1985.041,0.000,-0.167,0.000,0.000,0.000,0.000,0.000
669,1988.043,0.000,-0.300,0.000,0.000,0.000,0.000,0.000
670,1991.044,0.033,0.033,0.000,0.000,0.000,0.000,0.000
671,1994.046,0.000,-1.333,0.000,0.000,0.000,0.000,0.000
672,1997.047,0.100,0.100,0.000,0.000,0.000,0.000,0.000
673,2000.047,0.000,-1.267,0.000,0.000,0.000,0.000,0.000
674,2003.048,0.000,0.000,0.000,0.000,0.000,0.000,0.000
675,2006.048,0.300,0.300,0.000,0.000,0.000,0.000,0.000
676,2009.048,0.000,-0.733,0.000,0.000,0.000,0.000,0.000
