ch,keV,net,fit,model,continuum_raw,Na-22,Ann-511,pile-up
285,818.746,13031.190,13031.190,13614.673,2418.609,13391.042,0.000,223.631
286,821.645,13210.503,13210.503,13649.607,2403.837,13410.027,0.000,239.580
287,824.544,13112.346,13112.346,13653.385,2375.523,13416.953,0.000,236.432
288,827.444,13021.253,13021.253,13635.955,2347.209,13424.737,0.000,211.218
289,830.343,12913.722,12913.722,13640.123,2318.895,13432.970,0.000,207.152
290,833.243,13260.347,13260.347,13670.307,2290.581,13441.346,0.000,228.962
291,836.143,13138.003,13138.003,13669.117,2262.267,13449.644,0.000,219.473
292,839.044,13158.940,13158.940,13660.826,2233.953,13457.699,0.000,203.127
293,841.944,13420.409,13420.409,13657.772,2205.640,13465.470,0.000,192.302
294,844.845,13009.003,13009.003,13683.880,2177.326,13473.037,0.000,210.843
295,847.746,13135.159,13135.159,13664.588,2149.012,13480.603,0.000,183.985
296,850.647,13413.972,13413.972,13673.720,2120.698,13488.410,0.000,185.310
297,853.549,13279.659,13279.659,13697.579,2092.384,13496.836,0.000,200.744
298,856.451,13346.190,13346.190,13694.691,2064.070,13506.299,0.000,188.392
299,859.353,13023.065,13023.065,13685.347,2035.756,13517.210,0.000,168.137
300,862.255,13258.940,13258.940,13689.884,2007.443,13529.985,0.000,159.899
301,865.157,13123.534,13123.534,13717.134,1979.129,13545.011,0.000,172.122
302,868.060,13164.659,13164.659,13704.357,1950.815,13562.603,0.000,141.754
303,870.963,13427.190,13427.190,13729.423,1922.501,13582.922,0.000,146.500
304,873.866,13366.096,13366.096,13761.636,1894.187,13606.064,0.000,155.572
305,876.769,13438.815,13438.815,13779.613,1865.873,13631.964,0.000,147.649
306,879.673,13442.159,13442.159,13781.876,1837.559,13660.405,0.000,121.471
307,882.576,13230.347,13230.347,13808.874,1809.246,13691.043,0.000,117.831
308,885.480,13540.753,13540.753,13852.869,1780.932,13723.457,0.000,129.412
309,888.384,13566.159,13566.159,13884.247,1752.618,13757.143,0.000,127.103
310,891.288,13600.815,13600.815,13894.349,1724.304,13791.533,0.000,102.816
311,894.193,13622.753,13622.753,13918.240,1695.990,13826.045,0.000,92.195
312,897.097,13581.253,13581.253,13975.432,1667.676,13860.147,0.000,115.285
313,900.002,13848.565,13848.565,13978.789,1639.362,13893.379,0.000,85.410
314,902.907,13580.440,13580.440,14015.614,1611.049,13925.305,0.000,90.309
315,905.812,14042.472,14042.472,14059.039,1582.735,13955.650,0.000,103.388
316,908.718,14227.221,14227.221,14087.122,1554.421,13984.230,0.000,102.892
317,911.623,14053.253,14053.253,14087.903,1526.107,14010.962,0.000,76.941
318,914.529,13847.253,13847.253,14111.790,1497.793,14035.868,0.000,75.923
319,917.435,13958.534,13958.534,14157.088,1469.479,14059.098,0.000,97.990
320,920.341,14294.315,14294.315,14174.172,1441.165,14080.895,0.000,93.278
321,923.247,14144.971,14144.971,14175.826,1412.852,14101.545,0.000,74.281
322,926.153,14106.690,14106.690,14186.713,1384.538,14121.406,0.000,65.307
