ch,keV,net,fit,model,continuum_raw,Na-22,Ann-511
890,2635.737,3.909,3.909,0.000,0.000,0.000,0.000
891,2638.819,0.000,-3.533,0.000,0.000,0.000,0.000
892,2641.903,0.000,-0.150,0.000,0.000,0.000,0.000
893,2644.988,0.000,-1.209,0.000,0.000,0.000,0.000
894,2648.074,0.000,-1.265,0.000,0.000,0.000,0.000
895,2651.161,0.000,-1.486,0.000,0.000,0.000,0.000
896,2654.249,0.000,-2.320,0.000,0.000,0.000,0.000
897,2657.338,0.846,0.846,0.000,0.000,0.000,0.000
898,2660.428,0.000,-1.707,0.000,0.000,0.000,0.000
899,2663.520,0.000,-1.652,0.000,0.000,0.000,0.000
900,2666.612,0.000,-1.099,0.000,0.000,0.000,0.000
901,2669.705,0.000,-2.656,0.000,0.000,0.000,0.000
902,2672.800,5.063,5.063,0.000,0.000,0.000,0.000
903,2675.895,0.000,-0.988,0.000,0.000,0.000,0.000
904,2678.992,0.063,0.063,0.000,0.000,0.000,0.000
905,2682.089,0.008,0.008,0.000,0.000,0.000,0.000
906,2685.188,0.000,-0.881,0.000,0.000,0.000,0.000
907,2688.288,0.000,-0.660,0.000,0.000,0.000,0.000
908,2691.389,0.174,0.174,0.000,0.000,0.000,0.000
909,2694.491,0.340,0.340,0.000,0.000,0.000,0.000
910,2697.595,0.561,0.561,0.000,0.000,0.000,0.000
911,2700.699,0.506,0.506,0.000,0.000,0.000,0.000
912,2703.805,0.000,-0.328,0.000,0.000,0.000,0.000
913,2706.911,1.391,1.391,0.000,0.000,0.000,0.000
914,2710.019,0.004,0.004,0.000,0.000,0.000,0.000
915,2713.128,0.000,-0.885,0.000,0.000,0.000,0.000
916,2716.238,0.225,0.225,0.000,0.000,0.000,0.000
917,2719.350,0.000,-0.775,0.000,0.000,0.000,0.000
918,2722.462,0.000,-0.273,0.000,0.000,0.000,0.000
919,2725.576,1.115,1.115,0.000,0.000,0.000,0.000
920,2728.691,0.000,-0.996,0.000,0.000,0.000,0.000
921,2731.807,0.225,0.225,0.000,0.000,0.000,0.000
922,2734.924,0.000,-0.498,0.000,0.000,0.000,0.000
923,2738.043,0.502,0.502,0.000,0.000,0.000,0.000
924,2741.163,0.115,0.115,0.000,0.000,0.000,0.000
925,2744.284,0.000,-0.775,0.000,0.000,0.000,0.000
926,2747.406,0.225,0.225,0.000,0.000,0.000,0.000
927,2750.529,0.502,0.502,0.000,0.000,0.000,0.000
928,2753.654,0.336,0.336,0.000,0.000,0.000,0.000
929,2756.780,0.000,-0.609,0.000,0.000,0.000,0.000
930,2759.907,2.281,2.281,0.000,0.000,0.000,0.000
931,2763.036,0.000,-0.332,0.000,0.000,0.000,0.000
932,2766.166,0.502,0.502,0.000,0.000,0.000,0.000
933,2769.297,0.000,-0.885,0.000,0.000,0.000,0.000
934,2772.429,0.000,-0.553,0.000,0.000,0.000,0.000
935,2775.563,1.447,1.447,0.000,0.000,0.000,0.000
936,2778.697,0.000,-0.443,0.000,0.000,0.000,0.000
937,2781.834,1.391,1.391,0.000,0.000,0.000,0.000
938,2784.971,0.000,-0.387,0.000,0.000,0.000,0.000
939,2788.110,0.000,-0.609,0.000,0.000,0.000,0.000
940,2791.250,0.000,-0.885,0.000,0.000,0.000,0.000
941,2794.392,0.000,-0.885,0.000,0.000,0.000,0.000
942,2797.535,0.447,0.447,0.000,0.000,0.000,0.000
943,2800.679,0.000,-0.719,0.000,0.000,0.000,0.000
944,2803.825,0.000,-0.775,0.000,0.000,0.000,0.000
945,2806.972,0.000,-0.553,0.000,0.000,0.000,0.000
946,2810.120,0.000,-0.664,0.000,0.000,0.000,0.000
947,2813.270,0.000,-0.553,0.000,0.000,0.000,0.000
948,2816.421,0.613,0.613,0.000,0.000,0.000,0.000
949,2819.573,2.557,2.557,0.000,0.000,0.000,0.000
950,2822.727,0.000,-0.941,0.000,0.000,0.000,0.000
951,2825.882,0.000,-0.332,0.000,0.000,0.000,0.000
952,2829.039,0.000,-0.664,0.000,0.000,0.000,0.000
953,2832.197,1.502,1.502,0.000,0.000,0.000,0.000
954,2835.357,1.336,1.336,0.000,0.000,0.000,0.000
955,2838.518,0.391,0.391,0.000,0.000,0.000,0.000
956,2841.680,1.668,1.668,0.000,0.000,0.000,0.000
957,2844.844,0.668,0.668,0.000,0.000,0.000,0.000
958,2848.009,0.557,0.557,0.000,0.000,0.000,0.000
