ch,keV,net,fit,model,continuum_raw,Pb-212,Tl-208,Bi-212,Ra-224,Th-228,Rn-220
278,808.137,86.767,86.767,74.383,21.886,0.000,48.725,25.603,0.000,0.000,0.000
279,811.116,74.200,74.200,72.088,21.626,0.000,49.345,22.689,0.000,0.000,0.000
280,814.096,77.900,77.900,70.519,21.367,0.000,50.596,19.871,0.000,0.000,0.000
281,817.076,68.367,68.367,69.867,21.107,0.000,52.573,17.245,0.000,0.000,0.000
282,820.056,74.500,74.500,70.301,20.848,0.000,55.375,14.881,0.000,0.000,0.000
283,823.036,72.733,72.733,71.960,20.589,0.000,59.098,12.822,0.000,0.000,0.000
284,826.016,70.533,70.533,74.940,20.329,0.000,63.822,11.083,0.000,0.000,0.000
285,828.997,80.100,80.100,79.282,20.070,0.000,69.592,9.660,0.000,0.000,0.000
286,831.977,88.167,88.167,84.963,19.811,0.000,76.406,8.532,0.000,0.000,0.000
287,834.957,87.467,87.467,91.887,19.551,0.000,84.198,7.668,0.000,0.000,0.000
288,837.938,110.933,110.933,99.876,19.292,0.000,92.824,7.034,0.000,0.000,0.000
289,840.919,124.633,124.633,108.668,19.032,0.000,102.059,6.595,0.000,0.000,0.000
290,843.899,122.333,122.333,117.924,18.773,0.000,111.594,6.319,0.000,0.000,0.000
291,846.880,155.200,155.200,127.241,18.514,0.000,121.052,6.180,0.000,0.000,0.000
292,849.861,154.000,154.000,136.170,18.254,0.000,130.005,6.159,0.000,0.000,0.000
293,852.842,148.000,148.000,144.250,17.995,0.000,138.004,6.242,0.000,0.000,0.000
294,855.823,162.300,162.300,151.037,17.736,0.000,144.615,6.419,0.000,0.000,0.000
295,858.804,166.167,166.167,156.143,17.476,0.000,149.456,6.685,0.000,0.000,0.000
296,861.786,154.900,154.900,159.269,17.217,0.000,152.230,7.037,0.000,0.000,0.000
297,864.767,186.800,186.800,160.229,16.957,0.000,152.757,7.471,0.000,0.000,0.000
298,867.748,150.167,150.167,158.968,16.698,0.000,150.988,7.979,0.000,0.000,0.000
299,870.730,176.433,176.433,155.565,16.439,0.000,147.012,8.552,0.000,0.000,0.000
300,873.712,139.733,139.733,150.222,16.179,0.000,141.046,9.176,0.000,0.000,0.000
301,876.693,135.800,135.800,143.245,15.920,0.000,133.416,9.829,0.000,0.000,0.000
302,879.675,132.333,132.333,135.011,15.660,0.000,124.524,10.487,0.000,0.000,0.000
303,882.657,121.200,121.200,125.933,15.401,0.000,114.811,11.122,0.000,0.000,0.000
304,885.639,119.333,119.333,116.426,15.142,0.000,104.724,11.702,0.000,0.000,0.000
305,888.621,103.700,103.700,106.874,14.882,0.000,94.676,12.198,0.000,0.000,0.000
306,891.603,126.267,126.267,97.606,14.623,0.000,85.025,12.580,0.000,0.000,0.000
307,894.586,92.500,92.500,88.879,14.364,0.000,76.051,12.828,0.000,0.000,0.000
308,897.568,62.033,62.033,80.876,14.104,0.000,67.951,12.926,0.000,0.000,0.000
309,900.550,57.333,57.333,73.703,13.845,0.000,60.836,12.868,0.000,0.000,0.000
310,903.533,64.267,64.267,67.402,13.585,0.000,54.742,12.659,0.000,0.000,0.000
311,906.516,63.567,63.567,61.959,13.326,0.000,49.645,12.314,0.000,0.000,0.000
312,909.498,59.033,59.033,57.326,13.067,0.000,45.471,11.856,0.000,0.000,0.000
313,912.481,67.900,67.900,53.431,12.807,0.000,42.117,11.313,0.000,0.000,0.000
314,915.464,54.800,54.800,50.187,12.548,0.000,39.467,10.721,0.000,0.000,0.000
315,918.447,39.767,39.767,47.510,12.288,0.000,37.398,10.112,0.000,0.000,0.000
316,921.430,38.067,38.067,45.318,12.029,0.000,35.798,9.520,0.000,0.000,0.000
317,924.413,41.700,41.700,43.536,11.770,0.000,34.563,8.972,0.000,0.000,0.000
318,927.396,43.367,43.367,42.099,11.510,0.000,33.609,8.490,0.000,0.000,0.000
