ch,keV,net,fit,model,continuum_raw,Y-88
966,2861.753,0.133,0.133,0.001,0.000,0.001
967,2864.579,0.000,-0.733,0.001,0.000,0.001
968,2867.403,0.000,-0.600,0.000,0.000,0.000
969,2870.227,1.533,1.533,0.000,0.000,0.000
970,2873.050,0.467,0.467,0.000,0.000,0.000
971,2875.872,0.000,-0.667,0.000,0.000,0.000
972,2878.693,0.000,-0.600,0.000,0.000,0.000
973,2881.513,1.200,1.200,0.000,0.000,0.000
974,2884.332,0.267,0.267,0.000,0.000,0.000
975,2887.150,0.000,-0.667,0.000,0.000,0.000
976,2889.968,0.000,-0.733,0.000,0.000,0.000
977,2892.784,0.000,-0.600,0.000,0.000,0.000
978,2895.600,0.000,-1.067,0.000,0.000,0.000
979,2898.414,0.000,0.000,0.000,0.000,0.000
980,2901.228,0.200,0.200,0.000,0.000,0.000
981,2904.041,0.000,-0.133,0.000,0.000,0.000
982,2906.853,0.000,-0.867,0.000,0.000,0.000
983,2909.664,0.333,0.333,0.000,0.000,0.000
984,2912.474,1.133,1.133,0.000,0.000,0.000
985,2915.283,0.200,0.200,0.000,0.000,0.000
986,2918.091,0.000,-0.800,0.000,0.000,0.000
987,2920.898,0.000,-0.867,0.000,0.000,0.000
988,2923.705,0.000,-0.933,0.000,0.000,0.000
989,2926.510,0.000,-0.533,0.000,0.000,0.000
990,2929.314,0.000,-0.800,0.000,0.000,0.000
991,2932.118,0.000,-0.533,0.000,0.000,0.000
992,2934.920,0.400,0.400,0.000,0.000,0.000
993,2937.722,0.000,-0.600,0.000,0.000,0.000
994,2940.523,0.400,0.400,0.000,0.000,0.000
995,2943.323,0.467,0.467,0.000,0.000,0.000
