ch,keV,net,fit,model,continuum_raw,Cs-137,Backscatter,Xray-Pb,pile-up
3483,1378.638,117.736,117.736,56.877,27.153,0.000,0.000,0.000,56.877
3484,1379.051,135.452,135.452,56.826,27.101,0.000,0.000,0.000,56.826
3485,1379.463,118.749,118.749,56.775,27.050,0.000,0.000,0.000,56.775
3486,1379.876,139.910,139.910,55.208,26.998,0.000,0.000,0.000,55.208
3487,1380.289,137.046,137.046,49.077,26.947,0.000,0.000,0.000,49.077
3488,1380.701,99.749,99.749,49.026,26.895,0.000,0.000,0.000,49.026
3489,1381.114,133.330,133.330,48.975,26.844,0.000,0.000,0.000,48.975
3490,1381.527,127.033,127.033,48.923,26.792,0.000,0.000,0.000,48.923
3491,1381.939,127.033,127.033,48.872,26.741,0.000,0.000,0.000,48.872
3492,1382.352,101.046,101.046,48.821,26.689,0.000,0.000,0.000,48.821
3493,1382.765,95.304,95.304,48.770,26.638,0.000,0.000,0.000,48.770
3494,1383.178,104.317,104.317,48.719,26.586,0.000,0.000,0.000,48.719
3495,1383.590,138.330,138.330,48.668,26.534,0.000,0.000,0.000,48.668
3496,1384.003,98.614,98.614,45.666,26.483,0.000,0.000,0.000,45.666
3497,1384.416,120.897,120.897,42.752,26.431,0.000,0.000,0.000,42.752
3498,1384.829,109.304,109.304,42.700,26.380,0.000,0.000,0.000,42.700
3499,1385.241,111.181,111.181,42.649,26.328,0.000,0.000,0.000,42.649
3500,1385.654,100.007,100.007,42.598,26.277,0.000,0.000,0.000,42.598
3501,1386.067,77.614,77.614,42.546,26.225,0.000,0.000,0.000,42.546
3502,1386.480,101.885,101.885,42.495,26.174,0.000,0.000,0.000,42.495
