ch,keV,net,model,continuum_raw,Tl-208,Ac-228,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Xray-Th,Xray-Pb,Xray-La
192,57.139,991.991,1058.336,781.810,50.747,71.970,45.415,7.674,3.302,0.584,0.075,483.774,394.611,0.000
193,57.479,1039.879,1079.678,781.693,50.816,72.021,45.681,7.682,3.308,0.589,0.075,487.452,411.874,0.000
194,57.819,1082.180,1103.039,781.576,50.893,72.080,45.972,7.691,3.314,0.595,0.075,491.405,430.839,0.000
195,58.158,1111.884,1128.578,781.459,50.979,72.148,46.290,7.701,3.320,0.600,0.075,495.634,451.663,0.000
196,58.498,1065.295,1156.409,781.341,51.072,72.224,46.636,7.711,3.326,0.606,0.076,500.113,474.485,0.000
197,58.838,1067.522,1186.746,781.224,51.175,72.309,47.013,7.724,3.332,0.612,0.076,504.844,499.510,0.000
198,59.178,1132.524,1219.847,781.107,51.288,72.405,47.426,7.737,3.339,0.618,0.076,509.835,526.981,0.000
199,59.518,1104.120,1256.008,780.989,51.414,72.513,47.878,7.752,3.346,0.624,0.076,515.100,557.173,0.000
200,59.857,1191.230,1295.380,780.872,51.553,72.637,48.374,7.769,3.354,0.630,0.076,520.646,590.218,0.000
201,60.197,1151.307,1337.565,780.755,51.707,72.775,48.918,7.788,3.362,0.637,0.076,526.452,625.737,0.000
202,60.537,1087.385,1383.629,782.251,51.971,73.069,49.597,7.823,3.378,0.645,0.077,533.440,663.528,0.000
203,60.877,1213.644,1431.915,783.748,52.250,73.380,50.333,7.860,3.394,0.653,0.077,540.673,703.202,0.000
204,61.217,1155.425,1482.398,785.244,52.545,73.710,51.133,7.899,3.411,0.661,0.078,548.167,744.710,0.000
205,61.557,1230.988,1535.069,786.740,52.856,74.063,52.004,7.940,3.430,0.670,0.078,555.939,788.014,0.000
206,61.897,1298.095,1589.273,788.237,53.185,74.438,52.943,7.983,3.449,0.680,0.078,563.990,832.460,0.000
207,62.237,1273.954,1643.515,789.733,53.528,74.837,53.935,8.028,3.470,0.690,0.079,572.287,876.603,0.000
208,62.577,1295.544,1696.658,791.230,53.884,75.259,54.970,8.075,3.492,0.700,0.079,580.817,919.329,0.000
209,62.917,1262.288,1748.017,792.726,54.253,75.706,56.043,8.124,3.515,0.712,0.080,589.592,959.946,0.000
210,63.257,1277.438,1796.914,794.222,54.635,76.177,57.152,8.175,3.540,0.723,0.080,598.630,997.761,0.000
211,63.597,1329.255,1842.690,795.719,55.027,76.673,58.293,8.228,3.566,0.736,0.081,607.952,1032.098,0.000
212,63.937,1304.069,1884.659,797.215,55.430,77.194,59.460,8.283,3.593,0.749,0.082,617.532,1062.305,0.000
213,64.277,1308.334,1922.177,798.711,55.840,77.737,60.650,8.339,3.622,0.763,0.082,627.334,1087.781,0.000
214,64.617,1359.189,1954.720,800.208,56.256,78.302,61.857,8.398,3.652,0.778,0.083,637.358,1108.010,0.000
215,64.957,1438.334,1981.886,801.704,56.678,78.888,63.081,8.457,3.683,0.794,0.084,647.620,1122.578,0.000
