ch,keV,net,model,continuum_raw,untied_tail,fit,tail,Cs-137,Backscatter,Xray-Pb-L,Xray-Pb,pile-up
138,45.622,130361.858,118413.719,15004.585,12737.035,130361.858,0.000,117643.553,514.508,0.000,458.571,25.887
139,46.000,129331.091,116701.914,14924.211,12933.299,129331.091,0.000,115898.445,511.968,0.000,494.602,25.762
140,46.378,128145.188,115060.327,14843.838,13213.215,128145.188,0.000,114221.357,509.449,0.000,532.810,25.638
141,46.756,127920.137,113444.023,14763.465,13594.523,127920.137,0.000,112567.366,506.939,0.000,573.192,25.513
142,47.134,127459.188,111815.276,14683.092,14088.924,127459.188,0.000,110898.871,504.434,0.000,615.634,25.388
143,47.513,126797.065,110142.873,14602.718,14706.050,126797.065,0.000,109184.816,501.928,0.000,659.978,25.262
144,47.891,126787.510,108401.552,14522.345,15461.192,126787.510,0.000,107400.008,499.419,0.000,706.161,25.136
145,48.269,126379.104,106575.544,14441.972,16370.320,126379.104,0.000,105524.543,496.905,0.000,754.131,25.010
146,48.647,125195.452,104654.620,14361.598,17447.574,125195.452,0.000,103543.230,494.385,0.000,803.830,24.883
147,49.025,126298.032,102605.084,14281.225,18695.676,126298.032,0.000,101445.159,491.859,0.000,855.073,24.756
148,49.403,125431.807,100433.160,14200.852,20117.733,125431.807,0.000,99223.318,489.326,0.000,907.706,24.628
149,49.781,124743.019,98135.249,14120.478,21721.375,124743.019,0.000,96874.168,486.785,0.000,961.669,24.500
150,50.159,125320.897,95720.233,14040.105,23513.459,125320.897,0.000,94397.375,484.235,0.000,1016.934,24.372
151,50.537,124929.464,93173.139,13959.732,25497.130,124929.464,0.000,91795.613,481.678,0.000,1073.475,24.243
152,50.915,124399.684,90506.716,13879.358,27660.675,124399.684,0.000,89074.204,479.112,0.000,1131.136,24.114
153,51.294,125322.109,87729.497,13798.985,29997.718,125322.109,0.000,86240.914,476.536,0.000,1189.890,23.985
154,51.672,124913.303,84851.511,13718.612,32503.116,124913.303,0.000,83305.710,473.952,0.000,1249.800,23.855
155,52.050,124384.206,81899.212,13638.238,35170.811,124384.206,0.000,80280.511,471.359,0.000,1310.993,23.724
156,52.428,124030.102,78875.849,13557.865,37988.759,124030.102,0.000,77178.923,468.756,0.000,1373.579,23.593
157,52.806,124919.367,75774.269,13477.492,40937.852,124919.367,0.000,74016.014,466.143,0.000,1437.634,23.462
158,53.184,124194.181,72629.116,13397.118,44000.709,124194.181,0.000,70807.878,463.521,0.000,1503.354,23.330
159,53.563,124499.864,69457.714,13316.745,47162.261,124499.864,0.000,67571.505,460.890,0.000,1571.072,23.197
160,53.941,124240.812,66278.008,13236.372,50407.002,124240.812,0.000,64324.426,458.249,0.000,1641.202,23.064
161,54.319,124276.554,63108.150,13155.999,53714.777,124276.554,0.000,61084.371,455.599,0.000,1714.165,22.931
162,54.697,124684.058,59966.177,13075.625,57059.413,124684.058,0.000,57868.980,452.940,0.000,1790.359,22.797
163,55.076,124307.058,56869.920,12995.252,60419.942,124307.058,0.000,54695.497,450.271,0.000,1870.372,22.663
164,55.454,123797.316,53836.709,12914.879,63778.442,123797.316,0.000,51580.513,447.594,0.000,1954.940,22.528
165,55.832,124179.897,50905.803,12834.505,67118.389,124179.897,0.000,48539.614,444.909,0.000,2044.916,22.393
166,56.210,124450.406,48078.242,12754.132,70419.697,124450.406,0.000,45587.193,442.215,0.000,2141.169,22.257
167,56.589,124117.889,45327.895,12673.759,73656.183,124117.889,0.000,42736.304,439.513,0.000,2244.538,22.121
168,56.967,124320.528,42698.797,12593.385,76812.370,124320.528,0.000,39998.409,436.805,0.000,2356.170,21.985
169,57.345,124039.702,40202.028,12513.012,79875.862,124039.702,0.000,37383.276,434.089,0.000,2477.376,21.848
170,57.724,123722.664,37847.051,12432.639,82837.315,123722.664,0.000,34898.886,431.366,0.000,2609.637,21.711
171,58.102,124087.019,35641.477,12352.265,85681.527,124087.019,0.000,32551.394,428.637,0.000,2754.411,21.574
