ch,keV,net,model,continuum_raw,untied_tail,fit,tail,Pb-212,Ac-228,Tl-208,Bi-212,Ra-224,Th-228,Th-232,Rn-220
171,58.610,142.795,143.256,141.477,0.000,142.795,0.000,60.623,47.113,26.933,3.847,3.099,1.366,0.235,0.039
172,58.989,147.503,143.800,142.034,0.000,147.503,0.000,60.880,47.261,27.039,3.858,3.114,1.373,0.235,0.040
173,59.368,238.858,144.348,142.590,0.000,238.858,0.000,61.136,47.414,27.144,3.869,3.129,1.379,0.236,0.040
174,59.747,177.395,144.899,143.146,0.000,177.395,0.000,61.391,47.570,27.250,3.882,3.143,1.386,0.237,0.040
175,60.125,220.217,145.454,143.702,0.000,220.217,0.000,61.644,47.729,27.356,3.894,3.158,1.392,0.239,0.040
176,60.504,232.322,146.012,144.258,0.000,232.322,0.000,61.897,47.892,27.463,3.907,3.173,1.399,0.240,0.040
177,60.883,176.871,146.573,144.814,0.000,176.871,0.000,62.149,48.057,27.570,3.921,3.188,1.405,0.241,0.041
178,61.262,168.417,147.136,145.370,0.000,168.417,0.000,62.401,48.225,27.677,3.935,3.203,1.412,0.243,0.041
179,61.641,146.503,147.702,145.926,0.000,146.503,0.000,62.652,48.394,27.785,3.949,3.217,1.419,0.244,0.041
180,62.020,189.466,148.270,146.482,0.000,189.466,0.000,62.903,48.565,27.893,3.964,3.232,1.425,0.246,0.041
181,62.398,189.016,148.840,147.038,0.000,189.016,0.000,63.154,48.737,28.002,3.979,3.247,1.432,0.248,0.041
182,62.777,167.576,149.412,147.594,0.000,167.576,0.000,63.405,48.909,28.112,3.994,3.262,1.439,0.250,0.042
183,63.156,200.799,149.984,148.151,0.000,200.799,0.000,63.655,49.083,28.222,4.009,3.277,1.445,0.251,0.042
184,63.535,206.261,150.558,148.707,0.000,206.261,0.000,63.905,49.257,28.332,4.024,3.292,1.452,0.253,0.042
185,63.914,212.080,151.134,149.263,0.000,212.080,0.000,64.156,49.431,28.444,4.040,3.307,1.459,0.255,0.042
186,64.293,213.056,151.710,149.819,0.000,213.056,0.000,64.407,49.605,28.556,4.055,3.322,1.466,0.256,0.042
187,64.672,187.086,152.288,150.375,0.000,187.086,0.000,64.658,49.779,28.668,4.071,3.338,1.473,0.258,0.042
188,65.051,190.047,152.867,150.931,0.000,190.047,0.000,64.910,49.954,28.782,4.087,3.353,1.480,0.259,0.043
189,65.430,204.460,153.449,151.487,0.000,204.460,0.000,65.163,50.129,28.896,4.103,3.368,1.487,0.260,0.043
190,65.809,208.223,154.032,152.043,0.000,208.223,0.000,65.418,50.304,29.011,4.119,3.383,1.494,0.260,0.043
191,66.188,209.459,154.618,152.599,0.000,209.459,0.000,65.674,50.479,29.127,4.136,3.398,1.501,0.260,0.043
192,66.567,216.721,155.208,153.155,0.000,216.721,0.000,65.933,50.655,29.244,4.152,3.413,1.508,0.259,0.043
193,66.946,198.986,155.803,153.711,0.000,198.986,0.000,66.195,50.832,29.362,4.169,3.428,1.515,0.258,0.044
194,67.325,209.378,156.402,154.267,0.000,209.378,0.000,66.461,51.009,29.481,4.186,3.443,1.522,0.256,0.044
195,67.704,238.437,157.008,154.824,0.000,238.437,0.000,66.731,51.188,29.601,4.203,3.459,1.529,0.254,0.044
196,68.084,211.988,157.622,155.380,0.000,211.988,0.000,67.005,51.369,29.723,4.220,3.474,1.536,0.250,0.044
197,68.463,231.754,158.243,155.936,0.000,231.754,0.000,67.286,51.551,29.846,4.237,3.489,1.543,0.246,0.044
198,68.842,227.972,158.875,156.492,0.000,227.972,0.000,67.573,51.736,29.971,4.254,3.504,1.550,0.241,0.045
199,69.221,196.826,159.519,157.048,0.000,196.826,0.000,67.868,51.923,30.098,4.272,3.519,1.557,0.236,0.045
200,69.600,234.825,160.174,157.604,0.000,234.825,0.000,68.171,52.113,30.227,4.290,3.535,1.564,0.229,0.045
201,69.979,258.961,160.845,158.160,0.000,258.961,0.000,68.483,52.306,30.358,4.308,3.550,1.571,0.222,0.045
202,70.359,225.502,161.530,158.716,0.000,225.502,0.000,68.805,52.503,30.491,4.327,3.566,1.578,0.215,0.045
203,70.738,229.885,162.233,159.272,0.000,229.885,0.000,69.138,52.705,30.627,4.345,3.582,1.585,0.206,0.046
204,71.117,213.664,162.955,159.828,0.000,213.664,0.000,69.481,52.911,30.764,4.364,3.598,1.592,0.197,0.046
205,71.496,274.958,163.695,160.384,0.000,274.958,0.000,69.837,53.123,30.905,4.383,3.614,1.599,0.188,0.046
206,71.876,297.348,164.457,160.940,0.000,297.348,0.000,70.204,53.340,31.048,4.403,3.630,1.606,0.178,0.046
207,72.255,263.912,165.240,161.497,0.000,263.912,0.000,70.583,53.564,31.193,4.423,3.647,1.613,0.168,0.047
208,72.634,285.421,166.045,162.053,0.000,285.421,0.000,70.974,53.795,31.342,4.443,3.664,1.621,0.158,0.047
209,73.014,177.895,166.872,162.609,0.000,177.895,0.000,71.376,54.033,31.493,4.464,3.682,1.628,0.148,0.047
