run,line,keV,window_keV,sum_net,sum_model,model_minus_net,in_sigma
radon2_front_r010_noeq,Tl-208 583,583.19,±82.8,1409,839,-570,-15.2
radon2_front_r010_noeq,Bi-214 609,609.32,±84.6,1309,779,-530,-14.6
radon2_front_r010_noeq,Bi-212 727,727.33,±92.4,657,91,-566,-22.1
radon2_front_r010_noeq,Ac-228 911,911.20,±103.5,487,0,-487,-22.1
radon2_front_r010_noeq,Ac-228 969,968.97,±106.7,494,0,-494,-22.2
radon2_front_r010_noeq,Bi-214 1120,1120.29,±114.7,509,0,-509,-22.6
radon2_front_r010_noeq,Bi-214 1764,1764.49,±144.0,461,231,-230,-10.7
radon2_front_r010_noeq,Tl-208 2614,2614.51,±175.2,352,189,-163,-8.7
radon2_front_r025_noeq,Pb-210 46.5,46.54,±23.4,14646,17033,2387,19.7
radon2_front_r025_noeq,Ra-226 186,186.21,±46.8,980,1706,725,23.2
radon2_front_r025_noeq,Pb-212 239,238.63,±52.9,3960,4394,433,6.9
radon2_front_r025_noeq,Pb-214 295,295.22,±58.9,2660,3083,423,8.2
radon2_front_r025_noeq,Ac-228 338,338.32,±63.0,458,231,-227,-10.6
radon2_front_r025_noeq,Pb-214 352,351.93,±64.3,439,220,-219,-10.5
radon2_front_r025_noeq,Tl-208 583,583.19,±82.8,1409,839,-570,-15.2
radon2_front_r025_noeq,Bi-214 609,609.32,±84.6,1309,779,-530,-14.6
radon2_front_r025_noeq,Bi-212 727,727.33,±92.4,657,91,-566,-22.1
radon2_front_r025_noeq,Ac-228 911,911.20,±103.5,487,0,-487,-22.1
radon2_front_r025_noeq,Ac-228 969,968.97,±106.7,494,0,-494,-22.2
radon2_front_r025_noeq,Bi-214 1120,1120.29,±114.7,509,0,-509,-22.6
radon2_front_r025_noeq,Bi-214 1764,1764.49,±144.0,461,231,-230,-10.7
radon2_front_r025_noeq,Tl-208 2614,2614.51,±175.2,352,189,-163,-8.7
radon2_front_singles,Pb-210 46.5,46.54,±23.4,14646,15386,740,6.1
radon2_front_singles,Ra-226 186,186.21,±46.8,980,1664,684,21.8
radon2_front_singles,Pb-212 239,238.63,±52.9,3960,4714,754,12.0
radon2_front_singles,Pb-214 295,295.22,±58.9,2660,3154,494,9.6
radon2_front_singles,Ac-228 338,338.32,±63.0,458,273,-185,-8.6
radon2_front_singles,Pb-214 352,351.93,±64.3,439,258,-181,-8.6
radon2_front_singles,Tl-208 583,583.19,±82.8,1409,837,-571,-15.2
radon2_front_singles,Bi-214 609,609.32,±84.6,1309,779,-531,-14.7
radon2_front_singles,Bi-212 727,727.33,±92.4,657,90,-567,-22.1
radon2_front_singles,Ac-228 911,911.20,±103.5,487,0,-487,-22.1
radon2_front_singles,Ac-228 969,968.97,±106.7,494,0,-494,-22.2
radon2_front_singles,Bi-214 1120,1120.29,±114.7,509,0,-509,-22.6
radon2_front_singles,Bi-214 1764,1764.49,±144.0,461,231,-230,-10.7
radon2_front_singles,Tl-208 2614,2614.51,±175.2,352,189,-163,-8.7
radon2_side_b0906_noeq,Pb-210 46.5,46.54,±23.4,19489,22579,3090,22.1
radon2_side_b0906_noeq,Ra-226 186,186.21,±46.8,5073,4047,-1026,-14.4
radon2_side_b0906_noeq,Pb-212 239,238.63,±52.9,8152,7859,-293,-3.2
radon2_side_b0906_noeq,Pb-214 295,295.22,±58.9,5385,5398,14,0.2
radon2_side_b0906_noeq,Ac-228 338,338.32,±63.0,1675,1088,-586,-14.3
radon2_side_b0906_noeq,Pb-214 352,351.93,±64.3,1539,860,-679,-17.3
radon2_side_b0906_noeq,Tl-208 583,583.19,±82.8,2117,1836,-280,-6.1
radon2_side_b0906_noeq,Bi-214 609,609.32,±84.6,1933,1588,-344,-7.8
radon2_side_b0906_noeq,Bi-212 727,727.33,±92.4,990,474,-516,-16.4
radon2_side_b0906_noeq,Ac-228 911,911.20,±103.5,714,275,-439,-16.4
radon2_side_b0906_noeq,Ac-228 969,968.97,±106.7,698,199,-499,-18.9
radon2_side_b0906_noeq,Bi-214 1120,1120.29,±114.7,680,194,-486,-18.6
radon2_side_b0906_noeq,Bi-214 1764,1764.49,±144.0,515,314,-201,-8.8
radon2_side_b0906_noeq,Tl-208 2614,2614.51,±175.2,370,239,-131,-6.8
radon2_side_b092_noeq,Pb-210 46.5,46.54,±23.4,18766,18957,192,1.4
radon2_side_b092_noeq,Ra-226 186,186.21,±46.8,4037,2795,-1242,-19.6
radon2_side_b092_noeq,Pb-212 239,238.63,±52.9,7375,6927,-448,-5.2
radon2_side_b092_noeq,Pb-214 295,295.22,±58.9,4912,4930,18,0.3
radon2_side_b092_noeq,Ac-228 338,338.32,±63.0,1433,937,-495,-13.1
