ch,keV,net,fit,model,continuum_raw,Cs-137,Backscatter,Xray-CsI,Xray-Pb,continuum
250,88.952,131722.154,131722.154,130093.723,122581.963,89647.712,32752.319,0.000,7693.693,0.000
251,89.335,131393.431,131393.431,129719.997,122577.816,89655.387,32755.123,0.000,7309.487,0.000
252,89.718,130060.502,130060.502,129343.965,122573.669,89662.537,32757.735,0.000,6923.693,0.000
253,90.102,130345.507,130345.507,128876.354,122479.361,89603.199,32736.056,0.000,6537.099,0.000
254,90.485,128932.249,128932.249,128408.564,122385.054,89543.317,32714.178,0.000,6151.069,0.000
255,90.868,128449.817,128449.817,127942.108,122290.747,89482.890,32692.102,0.000,5767.116,0.000
256,91.251,128536.218,128536.218,127478.698,122196.439,89421.923,32669.828,0.000,5386.947,0.000
257,91.634,127602.681,127602.681,127020.160,122102.132,89360.420,32647.358,0.000,5012.382,0.000
258,92.018,127033.876,127033.876,126568.366,122007.825,89298.389,32624.695,0.000,4645.281,0.000
259,92.401,125826.978,125826.978,126125.163,121913.518,89235.841,32601.844,0.000,4287.478,0.000
260,92.784,125275.152,125275.152,125692.315,121819.210,89172.788,32578.808,0.000,3940.719,0.000
261,93.167,124755.365,124755.365,125271.451,121724.903,89109.247,32555.593,0.000,3606.611,0.000
262,93.551,123798.912,123798.912,124864.027,121630.596,89045.236,32532.207,0.000,3286.584,0.000
263,93.934,123150.648,123150.648,124471.289,121536.288,88980.773,32508.656,0.000,2981.860,0.000
264,94.317,122968.674,122968.674,124094.258,121441.981,88915.882,32484.948,0.000,2693.428,0.000
265,94.701,122157.196,122157.196,123733.716,121347.674,88850.584,32461.092,0.000,2422.040,0.000
266,95.084,121947.209,121947.209,123390.200,121253.367,88784.905,32437.097,0.000,2168.199,0.000
267,95.467,121011.751,121011.751,123064.010,121159.059,88718.868,32412.971,0.000,1932.171,0.000
268,95.851,119988.086,119988.086,122755.218,121064.752,88652.500,32388.723,0.000,1713.995,0.000
269,96.234,119615.782,119615.782,122463.685,120970.445,88585.826,32364.364,0.000,1513.495,0.000
270,96.617,119408.672,119408.672,122189.078,120876.137,88518.870,32339.902,0.000,1330.307,0.000
271,97.001,118950.388,118950.388,121930.900,120781.830,88451.656,32315.346,0.000,1163.898,0.000
272,97.384,117910.762,117910.762,121688.509,120687.523,88384.210,32290.705,0.000,1013.594,0.000
273,97.767,117891.234,117891.234,121461.145,120593.216,88316.552,32265.986,0.000,878.607,0.000
274,98.151,117742.910,117742.910,121247.961,120498.908,88248.706,32241.199,0.000,758.056,0.000
275,98.534,117537.079,117537.079,121048.042,120404.601,88180.691,32216.350,0.000,651.001,0.000
276,98.918,116452.181,116452.181,120860.429,120310.294,88112.526,32191.446,0.000,556.457,0.000
277,99.301,117169.427,117169.427,120684.145,120215.986,88044.228,32166.494,0.000,473.422,0.000
278,99.685,116574.677,116574.677,120518.209,120121.679,87975.815,32141.500,0.000,400.895,0.000
279,100.068,115514.478,115514.478,120361.658,120027.372,87907.300,32116.468,0.000,337.890,0.000
280,100.451,115882.606,115882.606,120213.555,119933.065,87838.698,32091.405,0.000,283.453,0.000
281,100.835,115583.923,115583.923,120073.005,119838.757,87770.019,32066.314,0.000,236.672,0.000
