ch,keV,net,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232,Xray-Pb,Xray-Th
1277,431.727,223.878,220.688,70.864,124.696,77.156,0.162,18.556,0.000,0.000,0.114,0.000,0.000,0.000
1278,432.074,199.360,220.249,70.723,124.361,77.002,0.159,18.610,0.000,0.000,0.114,0.000,0.000,0.000
1279,432.421,203.582,219.839,70.583,124.050,76.851,0.155,18.666,0.000,0.000,0.114,0.000,0.000,0.000
1280,432.768,211.581,219.457,70.442,123.760,76.703,0.152,18.725,0.000,0.000,0.114,0.000,0.000,0.000
1281,433.114,215.580,219.100,70.302,123.491,76.558,0.148,18.787,0.000,0.000,0.113,0.000,0.000,0.000
1282,433.461,234.212,218.766,70.161,123.241,76.413,0.145,18.852,0.000,0.000,0.113,0.000,0.000,0.000
1283,433.808,221.878,218.455,70.021,123.010,76.268,0.142,18.919,0.000,0.000,0.113,0.000,0.000,0.000
1284,434.155,191.582,218.167,69.880,122.799,76.125,0.138,18.989,0.000,0.000,0.113,0.000,0.000,0.000
1285,434.502,198.952,217.903,69.740,122.609,75.983,0.135,19.060,0.000,0.000,0.113,0.000,0.000,0.000
1286,434.849,220.620,217.664,69.599,122.440,75.842,0.131,19.134,0.000,0.000,0.113,0.000,0.000,0.000
1287,435.195,199.878,217.448,69.459,122.293,75.702,0.128,19.210,0.000,0.000,0.112,0.000,0.000,0.000
1288,435.542,232.360,217.258,69.318,122.167,75.563,0.124,19.289,0.000,0.000,0.112,0.000,0.000,0.000
1289,435.889,241.322,217.093,69.178,122.063,75.425,0.121,19.369,0.000,0.000,0.112,0.000,0.000,0.000
1290,436.236,223.174,216.955,69.037,121.981,75.289,0.118,19.452,0.000,0.000,0.112,0.000,0.000,0.000
1291,436.583,233.805,216.842,68.897,121.922,75.153,0.114,19.538,0.000,0.000,0.112,0.000,0.000,0.000
1292,436.929,206.025,216.757,68.756,121.887,75.019,0.111,19.626,0.000,0.000,0.111,0.000,0.000,0.000
1293,437.276,195.212,216.699,68.616,121.874,74.886,0.108,19.717,0.000,0.000,0.111,0.000,0.000,0.000
1294,437.623,224.359,216.670,68.475,121.886,74.755,0.104,19.810,0.000,0.000,0.111,0.000,0.000,0.000
1295,437.970,198.100,216.684,68.335,121.922,74.640,0.101,19.907,0.000,0.000,0.111,0.000,0.000,0.000
1296,438.317,255.210,216.717,68.194,121.983,74.516,0.098,20.006,0.000,0.000,0.111,0.000,0.000,0.000
1297,438.663,241.617,216.777,68.054,122.071,74.392,0.095,20.106,0.000,0.000,0.111,0.000,0.000,0.000
1298,439.010,176.210,216.868,67.913,122.185,74.271,0.091,20.207,0.000,0.000,0.110,0.000,0.000,0.000
1299,439.357,212.359,216.991,67.773,122.328,74.153,0.088,20.309,0.000,0.000,0.110,0.000,0.000,0.000
1300,439.704,224.507,217.146,67.632,122.500,74.038,0.085,20.411,0.000,0.000,0.110,0.000,0.000,0.000
1301,440.051,200.840,217.330,67.492,122.698,73.925,0.082,20.512,0.000,0.000,0.110,0.000,0.000,0.000
1302,440.397,180.916,217.539,67.351,122.920,73.814,0.079,20.613,0.000,0.000,0.110,0.000,0.000,0.000
1303,440.744,250.210,217.771,67.211,123.166,73.703,0.077,20.714,0.000,0.000,0.110,0.000,0.000,0.000
1304,441.091,200.173,218.028,67.070,123.436,73.593,0.074,20.813,0.000,0.000,0.109,0.000,0.000,0.000
1305,441.438,223.952,218.309,66.930,123.731,73.483,0.071,20.912,0.000,0.000,0.109,0.000,0.000,0.000
1306,441.784,212.136,218.614,66.789,124.050,73.374,0.068,21.010,0.000,0.000,0.109,0.000,0.000,0.000
1307,442.131,211.136,218.944,66.649,124.394,73.265,0.066,21.107,0.000,0.000,0.109,0.000,0.000,0.000
1308,442.478,235.247,219.299,66.508,124.764,73.157,0.063,21.203,0.000,0.000,0.109,0.000,0.000,0.000
1309,442.825,207.656,219.679,66.368,125.159,73.050,0.060,21.298,0.000,0.000,0.109,0.000,0.000,0.000
1310,443.171,203.322,220.085,66.227,125.580,72.944,0.058,21.391,0.000,0.000,0.109,0.000,0.000,0.000
1311,443.518,234.285,220.516,66.087,126.028,72.838,0.056,21.483,0.000,0.000,0.108,0.000,0.000,0.000
1312,443.865,228.395,220.973,65.946,126.502,72.734,0.053,21.573,0.000,0.000,0.108,0.000,0.000,0.000
1313,444.211,236.618,221.457,65.806,127.004,72.630,0.051,21.661,0.000,0.000,0.108,0.000,0.000,0.000
1314,444.558,223.137,221.968,65.665,127.534,72.528,0.049,21.747,0.000,0.000,0.108,0.000,0.000,0.000
1315,444.905,223.543,222.508,65.525,128.092,72.427,0.047,21.831,0.000,0.000,0.108,0.000,0.000,0.000
1316,445.252,243.173,223.076,65.384,128.680,72.328,0.044,21.913,0.000,0.000,0.108,0.000,0.000,0.000
1317,445.598,228.581,223.674,65.244,129.299,72.230,0.042,21.992,0.000,0.000,0.108,0.000,0.000,0.000
1318,445.945,266.025,224.303,65.103,129.949,72.134,0.041,22.069,0.000,0.000,0.108,0.000,0.000,0.000
1319,446.292,230.062,224.964,64.963,130.631,72.040,0.039,22.144,0.000,0.000,0.107,0.000,0.000,0.000
1320,446.638,227.506,225.656,64.822,131.346,71.948,0.037,22.216,0.000,0.000,0.107,0.000,0.000,0.000
1321,446.985,202.434,226.381,64.682,132.094,71.858,0.035,22.285,0.000,0.000,0.107,0.000,0.000,0.000
1322,447.332,199.469,227.140,64.541,132.876,71.770,0.033,22.351,0.000,0.000,0.107,0.000,0.000,0.000
1323,447.679,230.840,227.934,64.401,133.694,71.685,0.032,22.414,0.000,0.000,0.107,0.000,0.000,0.000
1324,448.025,211.432,228.763,64.260,134.547,71.603,0.030,22.474,0.000,0.000,0.107,0.000,0.000,0.000
1325,448.372,238.841,229.629,64.120,135.438,71.523,0.029,22.530,0.000,0.000,0.107,0.000,0.000,0.000
1326,448.719,234.952,230.529,63.979,136.365,71.444,0.027,22.583,0.000,0.000,0.107,0.000,0.000,0.000
1327,449.065,224.765,231.448,63.839,137.314,71.366,0.026,22.632,0.000,0.000,0.106,0.000,0.000,0.000
1328,449.412,230.876,232.375,63.698,138.274,71.290,0.024,22.677,0.000,0.000,0.106,0.000,0.000,0.000
1329,449.759,221.100,233.307,63.558,139.244,71.214,0.023,22.717,0.000,0.000,0.106,0.000,0.000,0.000
1330,450.105,227.878,234.245,63.417,140.222,71.139,0.022,22.754,0.000,0.000,0.106,0.000,0.000,0.000
1331,450.452,214.321,235.187,63.277,141.206,71.066,0.021,22.786,0.000,0.000,0.106,0.000,0.000,0.000
1332,450.799,230.729,236.133,63.136,142.197,70.994,0.020,22.813,0.000,0.000,0.106,0.000,0.000,0.000
1333,451.145,213.061,237.079,62.996,143.192,70.924,0.018,22.836,0.000,0.000,0.106,0.000,0.000,0.000
1334,451.492,247.023,238.026,62.855,144.190,70.856,0.017,22.854,0.000,0.000,0.106,0.000,0.000,0.000
1335,451.839,202.840,238.973,62.715,145.190,70.789,0.016,22.868,0.000,0.000,0.106,0.000,0.000,0.000
1336,452.185,244.543,239.917,62.574,146.191,70.724,0.015,22.878,0.000,0.000,0.106,0.000,0.000,0.000
1337,452.532,220.581,240.857,62.434,147.190,70.662,0.015,22.882,0.000,0.000,0.105,0.000,0.000,0.000
1338,452.878,201.025,241.792,62.293,148.187,70.601,0.014,22.882,0.000,0.000,0.105,0.000,0.000,0.000
1339,453.225,250.729,242.721,62.153,149.180,70.543,0.013,22.878,0.000,0.000,0.105,0.000,0.000,0.000
1340,453.572,224.765,243.642,62.012,150.167,70.487,0.012,22.869,0.000,0.000,0.105,0.000,0.000,0.000
