ch,keV,net,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232,Xray-Pb,Xray-Th
6234,2103.068,23.482,23.880,0.000,0.000,23.880,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6235,2103.449,19.852,23.894,0.000,0.000,23.894,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6236,2103.831,23.704,23.906,0.000,0.000,23.906,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6237,2104.213,14.630,23.917,0.000,0.000,23.917,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6238,2104.595,26.926,23.928,0.000,0.000,23.928,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6239,2104.976,21.075,23.938,0.000,0.000,23.938,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6240,2105.358,16.482,23.946,0.000,0.000,23.946,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6241,2105.740,13.001,23.954,0.000,0.000,23.954,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6242,2106.122,23.816,23.962,0.000,0.000,23.962,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6243,2106.504,13.630,23.968,0.000,0.000,23.968,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6244,2106.887,19.075,23.973,0.000,0.000,23.973,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6245,2107.269,13.038,23.978,0.000,0.000,23.978,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6246,2107.651,20.038,23.982,0.000,0.000,23.982,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6247,2108.034,13.260,23.985,0.000,0.000,23.985,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6248,2108.416,23.149,23.987,0.000,0.000,23.987,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6249,2108.798,14.297,23.988,0.000,0.000,23.988,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6250,2109.181,12.260,23.988,0.000,0.000,23.988,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6251,2109.564,13.926,23.988,0.000,0.000,23.988,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6252,2109.946,14.704,23.987,0.000,0.000,23.987,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6253,2110.329,16.556,23.985,0.000,0.000,23.985,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6254,2110.712,15.445,23.982,0.000,0.000,23.982,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6255,2111.095,22.334,23.978,0.000,0.000,23.978,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
