nucid;E_A;E_B;P;from_seq;z;a
228AC;1588.200;57.770;0.00649350649351;73;90;228
228AC;1625.060;57.770;0.00649350649351;78;90;228
228AC;1630.630;57.770;0.00649350649351;80;90;228
228AC;1666.520;57.770;0.00649350649351;84;90;228
214PB;241.997;53.228;0.0757575757576;5;83;214
214PB;274.800;53.228;0.0135436671134;8;83;214
214PB;274.800;258.870;0.484212024825;8;83;214
214PB;462.000;53.228;0.0757575757576;11;83;214
214PB;480.430;53.228;0.0757575757576;8;83;214
214PB;487.090;351.932;0.79554494829;11;83;214
214PB;580.130;53.228;0.0135436671134;11;83;214
214PB;580.130;258.870;0.484212024825;11;83;214
214PB;785.960;53.228;0.0757575757576;11;83;214
214BI;273.800;609.312;0.917284295682;41;84;214
214BI;273.800;665.453;0.121431854331;41;84;214
214BI;273.800;1051.960;0.0190859193399;41;84;214
214BI;273.800;1599.310;0.794528654488;41;84;214
214BI;273.800;1661.280;0.0638325061535;41;84;214
214BI;280.950;388.880;-1;-1;0;0
214BI;280.950;609.312;0.291789060353;56;84;214
214BI;280.950;665.453;0.0227985848116;56;84;214
214BI;280.950;703.110;-1;-1;0;0
214BI;280.950;719.860;0.00367080283567;56;84;214
214BI;280.950;768.356;0.0526577007578;56;84;214
214BI;280.950;786.100;0.113907341065;56;84;214
214BI;280.950;806.174;0.0222745409675;56;84;214
214BI;280.950;934.061;0.0226249460474;56;84;214
214BI;280.950;1051.960;0.0263306200979;56;84;214
214BI;280.950;1069.960;0.0954652001303;56;84;214
214BI;280.950;1120.287;-1;-1;0;0
214BI;280.950;1133.660;0.0162629317068;56;84;214
214BI;280.950;1155.190;0.00270097813055;56;84;214
214BI;280.950;1303.760;-1;-1;0;0
214BI;280.950;1377.669;0.0429160261176;56;84;214
214BI;280.950;1385.310;0.0071835671931;56;84;214
214BI;280.950;1401.500;-1;-1;0;0
214BI;280.950;1509.228;-1;-1;0;0
214BI;280.950;1543.320;0.00226249460474;56;84;214
214BI;280.950;1661.280;0.0880622745749;56;84;214
214BI;280.950;1764.494;0.0252663997246;56;84;214
214BI;280.950;1838.360;0.122585995622;56;84;214
214BI;280.950;2118.550;-1;-1;0;0
214BI;280.950;2447.860;0.542415909831;56;84;214
214BI;304.200;405.740;1.73493710541e-05;43;84;214
214BI;304.200;474.410;0.0172715481369;43;84;214
214BI;304.200;609.312;0.0956091397809;43;84;214
214BI;304.200;665.453;0.00034120677944;43;84;214
214BI;304.200;768.356;0.0102887081257;43;84;214
214BI;304.200;806.174;0.00270100677148;43;84;214
214BI;304.200;826.300;0.0184112949683;43;84;214
214BI;304.200;934.061;0.00773329072071;43;84;214
214BI;304.200;1051.960;0.00317128679647;43;84;214
214BI;304.200;1120.287;0.0153031865121;43;84;214
214BI;304.200;1133.660;0.00888363649459;43;84;214
