spectrum,kind,channels,first_ch,first_keV,thr_ch,thr_keV,how,pair_floor_keV,winner
G1S16_Th232_Petri,фон,1024,6,2.541,6,2.541,"подъём 2.54→14.36 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 2.54",2.541,равны
G1S16_Y88_P25,проба,1024,6,5.125,6,5.125,"подъём 5.12→19.37 кэВ (от подошвы к уровню 398) шире рампы (5 кэВ) — порог по первому каналу 5.12",5.125,проба
G1S16_Y88_P25,фон,1024,5,2.279,5,2.279,"подъём 5.12→16.52 кэВ (от подошвы к уровню 5545) шире рампы (5 кэВ) — порог по первому каналу 2.28",5.125,проба
G1S16_Y88_P5,проба,1024,5,1.239,5,1.239,"подъём 4.11→12.71 кэВ (от подошвы к уровню 110) шире рампы (5 кэВ) — порог по первому каналу 1.24",1.239,равны (ниже пусто — не применяется)
G1S16_Y88_P5,фон,1024,5,1.239,5,1.239,"подъём 1.24→15.58 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 1.24",1.239,равны (ниже пусто — не применяется)
G1S24_Am241_P5,проба,1024,5,0.225,5,0.225,"подъём 6.20→15.16 кэВ (от подошвы к уровню 75083) шире рампы (5 кэВ) — порог по первому каналу 0.22",0.225,равны (ниже пусто — не применяется)
G1S24_Am241_P5,фон,1024,5,0.225,5,0.225,"подъём 3.21→18.15 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 0.22",0.225,равны (ниже пусто — не применяется)
G1S24_Ba133_P5,проба,1024,5,7.473,5,7.473,"подъём 18.60→24.17 кэВ (от подошвы к уровню 512059) шире рампы (5 кэВ) — порог по первому каналу 7.47",7.473,равны (ниже пусто — не применяется)
G1S24_Ba133_P5,фон,1024,5,7.473,5,7.473,"подъём 10.25→24.17 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 7.47",7.473,равны (ниже пусто — не применяется)
G1S24_Bi207_P5,проба,1024,5,15.045,5,15.045,"уровень не устоялся в 20 кэВ от 15.05 кэВ (растущий континуум) — порог по первому каналу",15.045,равны (ниже пусто — не применяется)
G1S24_Bi207_P5,фон,1024,5,15.045,5,15.045,"подъём 17.79→31.53 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 15.05",15.045,равны (ниже пусто — не применяется)
G1S24_Cd109_P5,проба,1024,5,7.384,5,7.384,"подъём от 7.38 кэВ кончается падением (пик на пороге) — порог по первому каналу",7.384,равны (ниже пусто — не применяется)
G1S24_Cd109_P5,фон,1024,5,7.384,5,7.384,"подъём 10.21→24.34 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 7.38",7.384,равны (ниже пусто — не применяется)
