ch,keV,net,fit,model,continuum_raw,Lu-176,continuum
270,90.840,764.228,764.228,676.062,452.727,676.062,0.000
271,91.206,787.673,787.673,672.866,457.025,672.866,0.000
272,91.571,841.318,841.318,669.868,461.323,669.868,0.000
273,91.937,809.545,809.545,667.123,465.621,667.123,0.000
274,92.303,809.588,809.588,664.678,469.918,664.678,0.000
275,92.668,781.675,781.675,662.575,474.216,662.575,0.000
276,93.034,733.566,733.566,660.842,478.514,660.842,0.000
277,93.400,808.775,808.775,659.505,482.812,659.505,0.000
278,93.765,712.414,712.414,658.579,487.110,658.579,0.000
279,94.131,705.563,705.563,658.073,491.408,658.073,0.000
280,94.497,744.693,744.693,657.989,495.706,657.989,0.000
281,94.862,762.907,762.907,658.324,500.004,658.324,0.000
282,95.228,769.314,769.314,659.069,504.301,659.069,0.000
283,95.594,679.108,679.108,660.212,508.599,660.212,0.000
284,95.960,777.334,777.334,661.737,512.897,661.737,0.000
285,96.325,679.978,679.978,663.624,517.195,663.624,0.000
286,96.691,759.886,759.886,665.854,521.493,665.854,0.000
287,97.057,647.798,647.798,668.404,525.791,668.404,0.000
288,97.423,797.972,797.972,671.252,530.089,671.252,0.000
289,97.788,708.630,708.630,674.375,534.387,674.375,0.000
290,98.154,745.914,745.914,677.752,538.685,677.752,0.000
291,98.520,686.692,686.692,681.361,542.982,681.361,0.000
292,98.886,704.281,704.281,685.181,547.280,685.181,0.000
293,99.252,716.491,716.491,689.194,551.578,689.194,0.000
294,99.617,749.075,749.075,693.381,555.876,693.381,0.000
295,99.983,748.935,748.935,697.727,560.174,697.727,0.000
296,100.349,698.838,698.838,702.217,564.472,702.217,0.000
297,100.715,731.137,731.137,706.838,568.770,706.838,0.000
298,101.081,784.279,784.279,711.578,573.068,711.578,0.000
299,101.446,707.979,707.979,716.427,577.365,716.427,0.000
300,101.812,733.106,733.106,721.376,581.663,721.376,0.000
301,102.178,716.408,716.408,726.418,585.961,726.418,0.000
302,102.544,720.787,720.787,731.545,590.259,731.545,0.000
303,102.910,710.267,710.267,736.753,594.557,736.753,0.000
304,103.276,732.269,732.269,742.037,598.855,742.037,0.000
305,103.642,687.924,687.924,747.391,603.153,747.391,0.000
306,104.008,720.012,720.012,752.813,607.451,752.813,0.000
307,104.373,745.625,745.625,758.299,611.748,758.299,0.000
308,104.739,744.796,744.796,763.847,616.046,763.847,0.000
309,105.105,703.758,703.758,769.454,620.344,769.454,0.000
310,105.471,721.145,721.145,775.118,624.642,775.118,0.000
311,105.837,755.859,755.859,780.836,628.940,780.836,0.000
312,106.203,747.839,747.839,786.607,633.238,786.607,0.000
313,106.569,782.289,782.289,792.428,637.536,792.428,0.000
314,106.935,695.954,695.954,798.297,641.834,798.297,0.000
315,107.301,759.068,759.068,804.212,646.132,804.212,0.000
316,107.667,671.017,671.017,810.171,650.429,810.171,0.000
317,108.033,722.678,722.678,816.170,654.727,816.170,0.000
318,108.399,725.343,725.343,822.209,659.025,822.209,0.000
319,108.765,804.441,804.441,828.283,663.323,828.283,0.000
320,109.131,685.605,685.605,827.998,661.228,827.998,0.000
321,109.497,734.692,734.692,827.743,659.133,827.743,0.000
322,109.863,778.222,778.222,827.515,657.038,827.515,0.000
323,110.229,645.207,645.207,827.311,654.943,827.311,0.000
324,110.595,793.151,793.151,827.129,652.849,827.129,0.000
325,110.961,777.332,777.332,826.964,650.754,826.964,0.000
326,111.327,738.274,738.274,826.814,648.659,826.814,0.000
327,111.693,749.467,749.467,826.675,646.564,826.675,0.000
328,112.059,805.749,805.749,826.544,644.469,826.544,0.000
329,112.425,759.527,759.527,826.419,642.374,826.419,0.000
330,112.791,775.537,775.537,826.295,640.279,826.295,0.000
331,113.157,767.512,767.512,826.170,638.184,826.170,0.000
332,113.523,790.133,790.133,826.042,636.089,826.042,0.000
333,113.889,803.678,803.678,825.906,633.994,825.906,0.000
334,114.255,771.203,771.203,825.762,631.899,825.762,0.000
335,114.621,870.230,870.230,825.605,629.805,825.605,0.000
336,114.988,769.768,769.768,825.435,627.710,825.435,0.000
337,115.354,787.386,787.386,825.249,625.615,825.249,0.000
338,115.720,842.186,842.186,825.045,623.520,825.045,0.000
339,116.086,790.795,790.795,824.822,621.425,824.822,0.000
340,116.452,772.511,772.511,824.578,619.330,824.578,0.000
341,116.818,817.785,817.785,824.313,617.235,824.313,0.000
342,117.184,728.701,728.701,824.026,615.140,824.026,0.000
343,117.550,758.173,758.173,823.716,613.045,823.716,0.000
344,117.917,794.692,794.692,823.383,610.950,823.383,0.000
345,118.283,783.023,783.023,823.026,608.855,823.026,0.000
346,118.649,821.698,821.698,822.646,606.761,822.646,0.000
347,119.015,805.740,805.740,822.244,604.666,822.244,0.000
348,119.381,812.431,812.431,821.819,602.571,821.819,0.000
349,119.748,837.904,837.904,821.373,600.476,821.373,0.000
350,120.114,753.116,753.116,820.906,598.381,820.906,0.000
351,120.480,765.072,765.072,820.419,596.286,820.419,0.000
352,120.846,712.514,712.514,819.914,594.191,819.914,0.000
353,121.212,836.796,836.796,819.392,592.096,819.392,0.000
354,121.579,797.315,797.315,818.854,590.001,818.854,0.000
355,121.945,823.285,823.285,818.301,587.906,818.301,0.000
356,122.311,729.055,729.055,817.736,585.811,817.736,0.000
357,122.677,772.558,772.558,817.160,583.717,817.160,0.000
358,123.044,831.184,831.184,816.574,581.622,816.574,0.000
359,123.410,802.565,802.565,815.981,579.527,815.981,0.000
360,123.776,775.623,775.623,815.381,577.432,815.381,0.000
361,124.142,751.351,751.351,814.777,575.337,814.777,0.000
362,124.509,806.867,806.867,814.170,573.242,814.170,0.000
363,124.875,835.063,835.063,813.561,571.147,813.561,0.000
364,125.241,804.451,804.451,812.954,569.052,812.954,0.000
365,125.608,820.627,820.627,812.348,566.957,812.348,0.000
366,125.974,752.226,752.226,811.746,564.862,811.746,0.000
367,126.340,764.574,764.574,811.149,562.767,811.149,0.000
368,126.707,868.087,868.087,810.559,560.673,810.559,0.000
369,127.073,862.836,862.836,809.976,558.578,809.976,0.000
370,127.439,772.992,772.992,809.403,556.483,809.403,0.000
371,127.806,732.199,732.199,808.840,554.388,808.840,0.000
372,128.172,788.259,788.259,808.289,552.293,808.289,0.000
373,128.538,824.634,824.634,807.751,550.198,807.751,0.000
374,128.905,859.719,859.719,807.226,548.103,807.226,0.000
375,129.271,739.729,739.729,806.715,546.008,806.715,0.000
376,129.638,758.325,758.325,806.220,543.913,806.220,0.000
377,130.004,802.023,802.023,805.740,541.818,805.740,0.000
378,130.370,793.326,793.326,805.277,539.723,805.277,0.000
379,130.737,744.288,744.288,804.831,537.629,804.831,0.000
380,131.103,802.879,802.879,804.401,535.534,804.401,0.000
381,131.470,811.121,811.121,803.989,533.439,803.989,0.000
382,131.836,852.325,852.325,803.595,531.344,803.595,0.000
383,132.203,804.065,804.065,803.217,529.249,803.217,0.000
384,132.569,796.194,796.194,802.857,527.154,802.857,0.000
385,132.935,779.536,779.536,802.514,525.059,802.514,0.000
386,133.302,758.603,758.603,802.188,522.964,802.188,0.000
387,133.668,771.438,771.438,801.878,520.869,801.878,0.000
388,134.035,752.387,752.387,801.584,518.774,801.584,0.000
389,134.401,756.514,756.514,801.305,516.679,801.305,0.000
390,134.768,837.423,837.423,801.040,514.585,801.040,0.000
391,135.134,746.589,746.589,800.789,512.490,800.789,0.000
392,135.501,776.872,776.872,800.551,510.395,800.551,0.000
393,135.867,769.963,769.963,800.325,508.300,800.325,0.000
394,136.234,766.924,766.924,800.110,506.205,800.110,0.000
395,136.600,865.643,865.643,799.905,504.110,799.905,0.000
396,136.967,766.140,766.140,799.710,502.015,799.710,0.000
397,137.334,805.036,805.036,799.522,499.920,799.522,0.000
398,137.700,802.421,802.421,799.340,497.825,799.340,0.000
399,138.067,772.967,772.967,799.165,495.730,799.165,0.000
400,138.433,796.347,796.347,798.994,493.635,798.994,0.000
401,138.800,763.762,763.762,798.826,491.541,798.826,0.000
402,139.166,766.852,766.852,798.659,489.446,798.659,0.000
403,139.533,829.359,829.359,798.494,487.351,798.494,0.000
404,139.900,856.627,856.627,798.327,485.256,798.327,0.000
405,140.266,794.695,794.695,798.158,483.161,798.158,0.000
406,140.633,853.180,853.180,797.986,481.066,797.986,0.000
407,140.999,743.017,743.017,797.808,478.971,797.808,0.000
408,141.366,787.818,787.818,797.624,476.876,797.624,0.000
409,141.733,726.505,726.505,797.431,474.781,797.431,0.000
410,142.099,813.495,813.495,797.228,472.686,797.228,0.000
411,142.466,774.420,774.420,797.015,470.591,797.015,0.000
412,142.833,761.220,761.220,796.788,468.497,796.788,0.000
413,143.199,832.037,832.037,796.546,466.402,796.546,0.000
414,143.566,735.170,735.170,796.288,464.307,796.288,0.000
415,143.933,746.784,746.784,796.012,462.212,796.012,0.000
416,144.299,836.128,836.128,795.717,460.117,795.717,0.000
417,144.666,854.003,854.003,795.400,458.022,795.400,0.000
418,145.033,732.981,732.981,795.060,455.927,795.060,0.000
419,145.399,762.949,762.949,794.696,453.832,794.696,0.000
420,145.766,796.985,796.985,794.305,451.737,794.305,0.000
421,146.133,776.412,776.412,793.887,449.642,793.887,0.000
422,146.499,777.621,777.621,793.441,447.547,793.441,0.000
423,146.866,776.978,776.978,792.964,445.452,792.964,0.000
424,147.233,805.276,805.276,792.455,443.358,792.455,0.000
425,147.600,854.680,854.680,791.914,441.263,791.914,0.000
426,147.966,794.895,794.895,791.340,439.168,791.340,0.000
427,148.333,835.388,835.388,790.730,437.073,790.730,0.000
428,148.700,751.640,751.640,790.086,434.978,790.086,0.000
429,149.067,781.544,781.544,789.405,432.883,789.405,0.000
430,149.433,888.594,888.594,788.688,430.788,788.688,0.000
431,149.800,829.291,829.291,787.934,428.693,787.934,0.000
432,150.167,803.679,803.679,787.143,426.598,787.143,0.000
433,150.534,794.312,794.312,786.314,424.503,786.314,0.000
434,150.901,868.675,868.675,785.448,422.408,785.448,0.000
435,151.267,770.950,770.950,784.544,420.314,784.544,0.000
436,151.634,759.408,759.408,783.603,418.219,783.603,0.000
437,152.001,848.939,848.939,782.626,416.124,782.626,0.000
438,152.368,816.002,816.002,781.611,414.029,781.611,0.000
439,152.735,805.694,805.694,780.560,411.934,780.560,0.000
440,153.102,807.127,807.127,779.473,409.839,779.473,0.000
441,153.469,781.580,781.580,778.351,407.744,778.351,0.000
442,153.835,819.854,819.854,777.193,405.649,777.193,0.000
443,154.202,801.247,801.247,776.001,403.554,776.001,0.000
444,154.569,868.391,868.391,774.774,401.459,774.774,0.000
445,154.936,807.624,807.624,773.513,399.364,773.513,0.000
446,155.303,790.164,790.164,772.218,397.270,772.218,0.000
447,155.670,812.535,812.535,770.889,395.175,770.889,0.000
448,156.037,736.874,736.874,769.527,393.080,769.527,0.000
449,156.404,736.730,736.730,768.131,390.985,768.131,0.000
450,156.771,763.823,763.823,766.701,388.890,766.701,0.000
451,157.137,797.860,797.860,765.236,386.795,765.236,0.000
